decisiveness
62.7119
76.1194
8.64198
74.6032
1.40845
1.81818
79.2208
89.7297
1.69492
1.36986
98.8701
7.46269
1.5873
100
57.7465
11.8644
1.5873
30.0699
86.9565
1.81818
90.7692
44.6602
91.3043
71.0145
1.14943
2.04082
4.34783
1.53846
1.33333
81.6901
86.8852
1.49254
1.33333
1.26582
85.8824
1.44928
1.0101
0.653595
92
1.40845
1.81818
1.33333
4.34783
60.7595
1.23457
1.69492
1.96078
1.81818
1.63934
29.0323
