total_number_of_pieces
30.3729
29.7164
29.8519
30.4762
35.4366
34.3818
21.6104
18.3081
32.9153
31.9589
17.7514
31.0448
34.5238
31.746
30.0141
30.3051
32.746
22.0979
28.5652
33.6
29.5692
28.9223
33.4348
27.4783
31.3793
31.1224
34.2754
32.3231
27.5067
27.7324
32.9016
30.4627
30.08
30.0886
26.4353
31.8986
29.8384
24.8954
29.0267
32.9577
32.8909
33.8
30.9855
29.4177
28.2593
31.7458
33.2353
30.4909
31.8689
19.6452
