total_lead_change_actions
5.08475
4.47761
6.17284
4.7619
1.40845
1.81818
11.6883
8.64865
1.69492
1.36986
37.2881
7.46269
1.5873
17.4603
4.22535
5.08475
1.5873
4.8951
17.3913
1.81818
15.3846
3.8835
4.34783
14.4928
1.14943
2.04082
4.34783
1.53846
1.33333
4.22535
4.91803
1.49254
1.33333
1.26582
12.9412
1.44928
1.0101
0.653595
6.66667
1.40845
1.81818
1.33333
4.34783
5.06329
1.23457
1.69492
1.96078
1.81818
1.63934
2.15054
