total_occupied_tiles
40
41
41
42
41
39
41
52
39
41
58
45
45
40
43
41
43
48
44
40
40
42
46
40
45
39
44
39
41
45
43
45
46
43
43
45
49
48
45
45
38
41
43
43
46
42
42
39
43
58
