total_decision_factors
76.6226
74.9841
76.8933
82.2667
111.544
83
45.1507
49.9497
79.2105
76.1176
50.2515
84.8065
91.3167
79.1552
93.4091
81.8
97.7869
85.4604
78.7143
80.8627
86.3333
100.9
92.3077
61.0635
88.4096
82.6531
93.7794
94.8197
59.4
68.5672
91.2982
68.6825
65.75
86.8831
67.1235
79.7969
87.7629
90.7075
82.8657
115.159
82.3846
101.444
90.5
65.7895
72.1067
85.0175
68.4583
80.5192
85.5536
46.35
