total_distance
1.37288
1.46269
1.4321
1.50794
1.50704
1.38182
1.61039
1.23784
1.33898
1.32877
1.24859
1.41791
1.39683
1.42857
1.46479
1.52542
1.4127
1.48951
1.46377
1.30909
1.53846
1.38835
1.46377
1.33333
1.56322
1.28571
1.53623
1.47692
1.21333
1.60563
1.45902
1.35821
1.41333
1.55696
1.30588
1.46377
1.51515
1.34641
1.42667
1.47887
1.34545
1.41333
1.68116
1.35443
1.41975
1.42373
1.39216
1.36364
1.34426
1.22043
