total_turns
59
67
81
63
71
55
77
185
59
73
177
67
63
63
71
59
63
143
69
55
65
103
69
69
87
49
69
65
75
71
61
67
75
79
85
69
99
153
75
71
55
75
69
79
81
59
51
55
61
186
