total_distance
1.56897
1.25
1.4
1.35526
1.51351
1.13462
1.28333
1.35294
1.40323
1.47143
1.43333
1.2963
1.41379
1.5
1.42593
1.41429
1.4359
1.36667
1.40385
1.59722
1.36
1.42188
1.34437
1.29688
1.39535
1.36792
1.33333
1.44898
1.28125
1.36364
1.48571
1.51562
1.37097
1.34848
1.22
1.5303
1.33333
1.375
1.5
1.43421
1.43103
1.42
1.5
1.46667
1.42105
1.35185
1.26923
1.38298
1.48611
1.45833
