total_turns
58
60
60
76
74
52
60
68
62
70
60
54
58
68
54
70
78
60
104
72
100
64
151
64
86
106
60
98
64
154
70
64
62
66
50
66
66
72
76
76
116
50
64
90
38
54
104
94
72
120
