total_narrowness
25.8621
24.8333
23.8
26.5
28.2432
30.1731
26.1167
25.0882
27.2258
21.6429
30.65
30.6852
27.569
28.5882
27.0741
31.3286
31.4359
30
19.7885
31.4444
25.71
31.2031
24.4503
26.3438
23.7442
26.3774
30.5667
23.5204
28.9531
31.8636
22.2143
25.7812
20.8387
26.5909
26.76
28.1364
25.5
29.3333
22.5395
27.1579
20.6897
19.94
25.5781
26.2
16.7105
27.6667
21.5481
23.0532
26.8333
25.025
