total_number_of_pieces
31.4655
32.6833
31.1333
31.1711
29.9595
34.8462
32.2833
29.5735
31.4677
28.1286
31.2667
31.5556
34.1552
33.8824
31.1667
31.2
28.3718
34.6667
26.0096
31.4444
26
33.5938
23.9404
31.8281
29.8256
27.9434
33.15
29.602
32.5156
29.4545
31.4857
30.5781
32.2581
33.3485
32.32
33.9848
32.3485
29.4306
28.3158
32.1184
25.4828
31.16
31.5469
29.4333
31.5526
33.2963
30.4808
29.0426
32.3889
25.1833
