total_lead_change_actions
5.17241
5
1.66667
6.57895
10.8108
3.84615
1.66667
1.47059
1.6129
2.85714
3.33333
5.55556
5.17241
1.47059
1.85185
1.42857
6.41026
3.33333
15.3846
5.55556
3
1.5625
2.64901
6.25
10.4651
1.88679
1.66667
5.10204
1.5625
7.79221
4.28571
4.6875
1.6129
10.6061
2
4.54545
1.51515
1.38889
14.4737
1.31579
12.069
10
9.375
4.44444
7.89474
5.55556
3.84615
6.38298
8.33333
4.16667
