total_decision_factors
84.1786
70.5357
69.0172
77.3784
80.1972
84.451
79.2456
65.4062
79.3621
73.1875
82.0526
76.7308
81.5
85.5692
78.5385
92.4179
75.9178
95.9123
60.5446
94.1014
85.2062
106.603
87.3425
84
91.061
96.2
92.7241
95.1685
79.7377
113.179
85.2381
76.1833
83.9655
82.4262
75.1042
105.689
90.4754
82.0435
69.6479
84.863
72.6455
59.5652
90.541
94.1047
45.6176
79.72
99.5758
80.8242
89.5224
69.6068
