decisiveness
10.3448
56.6667
1.66667
47.3684
89.1892
3.84615
1.66667
1.47059
1.6129
2.85714
3.33333
66.6667
62.069
1.47059
1.85185
1.42857
83.3333
3.33333
94.2308
5.55556
3
1.5625
9.27152
81.25
41.8605
1.88679
1.66667
55.102
1.5625
27.2727
80
53.125
1.6129
69.697
2
66.6667
1.51515
1.38889
89.4737
1.31579
84.4828
10
65.625
4.44444
63.1579
11.1111
30.7692
6.38298
77.7778
84.1667
