total_lead_change_moves
9.24138
6.18333
3.56667
5.47368
11.6757
4.5
5.91667
3.13235
7.25806
4.9
5.46667
5.68519
4.74138
2.80882
7.40741
3.77143
5.96154
6.08333
10.8462
6.23611
4.43
7.53125
11.4834
11.8281
14.1744
8.72642
5.6
16.8469
4
18.1039
9.47143
10.5625
8.40323
10.2121
6.12
11.8788
8.01515
4.98611
7.93421
6
14
8.28
14.1406
8.63333
9.71053
7.90741
20.5096
9.48936
12.0139
7.34167
