total_occupied_tiles
40
40
41
43
41
39
41
41
42
45
44
40
45
40
41
45
44
48
43
44
49
47
46
41
48
49
42
43
39
53
43
42
43
43
37
41
48
42
45
47
48
45
41
47
40
39
49
46
38
49
