total_occupied_tiles
45
41
45
46
43
40
44
48
45
43
41
53
43
41
40
40
46
44
43
43
41
41
38
43
42
39
38
41
41
39
41
40
52
48
44
44
41
41
43
43
45
46
44
45
41
41
42
44
48
44
