total_turns
77
59
71
61
53
39
53
81
71
81
57
159
79
61
49
57
53
55
83
55
39
45
43
53
63
47
39
55
85
51
65
57
93
77
69
55
83
49
61
55
73
69
51
67
61
45
67
53
65
65
