total_number_of_pieces
28.7922
32.0678
34.169
34.2459
31.1321
31.6667
33.5849
32.4691
30.9859
28.2346
32.1579
28.4277
31.2278
33.377
32.0408
34.4211
33.7736
32.3818
30.1687
34.1091
33.8718
31.5556
32.186
34.9057
34.6984
32.0213
31.2308
32.1455
26.9647
35
33.2
34
27.3656
32.4416
33.942
33.2364
31.4699
32.4898
32.6557
32.8909
34.4521
30.6957
31.098
34.6567
33.2787
32.7778
32.1343
33.4906
32.8154
32.3385
