total_distance
1.37662
1.40678
1.47887
1.2459
1.41509
1.23077
1.28302
1.34568
1.39437
1.33333
1.42105
1.33333
1.5443
1.37705
1.32653
1.2807
1.32075
1.30909
1.36145
1.36364
1.41026
1.33333
1.32558
1.32075
1.39683
1.31915
1.35897
1.32727
1.18824
1.29412
1.49231
1.40351
1.31183
1.53247
1.4058
1.41818
1.3012
1.30612
1.27869
1.34545
1.50685
1.37681
1.31373
1.25373
1.36066
1.26667
1.25373
1.33962
1.4
1.38462
