total_decision_factors
83.8333
78.1091
102.851
79.8421
58.1702
41.9189
73.1837
82.8182
88.5909
88.4051
77.9216
100.974
99.6842
70.8772
59.5556
78.2407
74.0192
70.7255
88.9615
82.0385
64.5278
56.6829
38.5
75.5882
90.9831
80.5116
44.8333
61.0962
68.5488
74.7143
78.5246
82.3396
78.2088
110.987
85.6825
73.9808
82.6463
68.3488
77.5345
72.0392
112.833
71.1692
50.1333
80.8485
75.5763
57.6905
72.9355
62.4038
80.8
77.4839
