total_drama
0.0545195
0.0536394
0.0551957
0.0567306
0.0559524
0.0413602
0.0467476
0.0587735
0.0486329
0.0461635
0.045691
0.0458715
0.0376662
0.0593939
0.0599275
0.0420049
0.044023
0.0489
0.0432093
0.0659399
0.0551724
0.03479
0.0443219
0.048935
0.0603938
0.0592469
0.0420569
0.0657811
0.0455409
0.0553894
0.0566006
0.0519151
0.0545451
0.0461863
0.053209
0.0543147
0.0420714
0.0423913
0.043115
0.0434181
0.047545
0.0490771
0.0435812
0.0486857
0.0482526
0.0539843
0.0669208
0.0640458
0.0616701
0.0423981
