total_distance
1.24022
1.3494
1.21212
1.31148
1.23232
1.30159
1.34286
1.22047
1.43284
1.33766
1.30337
1.27586
1.20619
1.22523
1.248
1.2716
1.4
1.30108
1.29885
1.28421
1.33708
1.35821
1.30986
1.34579
1.24324
1.29565
1.25253
1.22105
1.42373
1.25225
1.40541
1.36842
1.36082
1.24348
1.29114
1.3662
1.2381
1.31507
1.42373
1.26437
1.46753
1.31343
1.30841
1.20513
1.34066
1.28205
1.27219
1.32
1.29032
1.2043
