total_more_than_one_move
91.6201
91.6031
89.4737
88.8626
89.2514
89.3836
89.9855
89.8284
90.2605
90.625
91.0391
91.1223
91.402
91.0128
90.8317
90.9204
90.6194
90.7175
90.6674
90.6605
90.6759
90.6877
90.6236
90.669
90.642
90.7526
90.7201
90.6761
90.6216
90.6359
90.7837
90.7432
90.6477
90.7622
90.8306
90.758
90.8062
90.7705
90.7554
90.8098
90.8901
90.9954
91.1111
91.1451
91.1227
91.1085
91.1536
91.1456
91.1935
91.1975
