total_lead_change_actions
6.14525
7.22892
2.0202
6.55738
19.1919
9.52381
19.0476
12.5984
7.46269
10.3896
23.5955
13.7931
4.12371
14.4144
12
4.93827
27.2727
10.7527
8.04598
9.47368
4.49438
10.4478
14.0845
21.4953
28.8288
12.1739
14.1414
6.31579
13.5593
18.018
12.6126
27.3684
18.5567
15.6522
27.8481
7.04225
7.61905
8.21918
20.339
13.7931
14.2857
11.9403
4.6729
15.3846
1.0989
14.5299
7.69231
13.3333
7.52688
9.67742
