total_lead_change_moves
4.0838
4.07229
3.0202
4.42623
12.3636
7.06349
15.8
6.2126
5.43284
7.22078
19.2022
10.4276
4.8866
9.41441
7.224
4.14815
12.5636
7.51613
7.87356
3.8
4.55056
5.8806
6.4507
13.4953
17.5946
8.70435
9.48485
5.83158
11.1864
9.40541
11.1532
18.5789
8.92784
8.95652
10.2405
4.98592
6.01905
6.42466
12.8136
6.48276
12.1169
8.16418
4.16822
9.62393
2.0989
11.188
5.77515
7.66667
4.65591
8.60215
