total_occupied_tiles
57
50
51
42
51
44
48
51
43
44
44
53
47
54
52
45
44
46
54
45
48
46
44
47
47
50
48
48
40
56
51
45
48
49
48
48
51
47
41
51
45
45
53
51
44
52
54
42
44
44
