total_number_of_pieces
23.5475
25.9759
26.8081
28.5738
23.6465
27.1429
29.2762
22.5748
29.5075
27.4286
29.3933
24.7448
28.5464
25.7477
23.008
28.7778
30.7273
29.0215
28.0805
21.8632
29.9888
30.0299
29.338
29.9533
27.3063
27.6696
29.202
22.0737
29
25.7658
28
29.3579
26.4845
27.6
24.443
27.0141
27.6095
28.2192
29.5932
25.7931
30.013
28.8806
25.3178
25.0427
26.1099
28.2393
21.8402
24.2267
23.6237
26.6882
