total_turns
179
83
99
61
99
63
105
127
67
77
89
145
97
111
125
81
55
93
87
95
89
67
71
107
111
115
99
95
59
111
111
95
97
115
79
71
105
73
59
87
77
67
107
117
91
117
169
75
93
93
