total_repeated_states
11
3
4
6
0
1
4
0
25
9
20
0
1
0
4
5
0
0
14
0
19
13
4
14
4
0
1
1
2
0
4
4
0
7
43
4
0
7
0
2
4
0
1
0
0
3
0
2
0
9
8
0
0
3
0
9
0
0
1
0
1
6
2
10
0
0
3
4
0
3
0
8
11
0
6
0
0
4
0
6
4
2
3
7
1
0
4
5
8
8
0
6
2
11
13
2
3
0
0
8
