total_turns
129
101
141
146
60
136
101
101
151
146
148
101
103
133
133
101
101
101
108
138
152
147
135
136
101
60
135
143
134
101
101
135
101
101
160
101
101
101
57
140
137
101
101
132
87
101
72
101
54
161
144
133
42
101
75
101
101
74
70
85
101
101
129
101
64
101
101
101
101
146
101
141
101
103
101
133
182
101
95
101
101
150
71
139
129
92
142
141
101
135
83
161
101
101
139
86
101
67
83
148
