total_branches
175.271
181.96
166.574
159.315
115.367
159.875
194.376
171.604
196.272
161.534
158.304
178.376
161.049
167.211
182.805
161.03
183.832
113.535
143.704
187.746
174.388
176.299
183.178
185.36
169.02
101.083
157.881
169.203
179.709
167.396
175.703
168.185
175.931
167.446
182.344
186.584
174
175.347
107.333
160.921
170.723
172.901
183.119
172.667
123.701
168.366
109.306
174.119
93.1481
156.758
174.819
174.684
115.857
166.752
74.16
193.663
180.802
122.595
128.643
123.529
177.257
164.505
173.295
167.802
121.438
177.04
168.931
185.396
177.406
177.295
176.238
163.652
169
102.214
184.525
179.519
191.115
165.465
167.937
164.911
173.644
192.813
136.662
166.058
165.38
151.38
102.986
174.277
166.554
170.578
125.675
178.199
181.485
181.149
163.453
147.628
164.792
115.149
140.169
159.027
