total_number_of_pieces
35.2248
36
33.0071
32.5479
33.15
32.25
36
36
35.3377
32.3082
31.7365
36
35.9806
33.6992
35.2481
36
36
34.3762
32.3426
35.2754
34.7895
33.8367
34.5037
35.2647
36
32.9333
32.9926
33.8881
34.4925
36
36
32.2148
36
36
34.1187
36
36
36
33.4561
32.3714
34.5328
36
36
35.2424
32.4253
36
32.9167
36
33.2222
31.0745
32.9722
35.2481
35.9524
36
25.52
36
36
32.5541
34.0857
33.7294
36
36
35.2248
36
35.9375
36
36
36
36
35.3151
36
31.6099
36
28.5146
36
35.2481
35.4505
36
35.9789
36
36
35.3333
35.6901
33.8273
35.2248
34.3261
26.838
33.8511
36
32.2148
33.1928
35.3789
36
36
31.5468
34.8605
36
33.2687
34.1928
31.7365
