decisiveness
21.7054
39.604
28.3688
51.3699
80
26.4706
35.6436
100
37.0861
21.2329
100
100
53.3981
25.5639
25.5639
100
100
80.198
42.5926
26.8116
32.8947
31.2925
31.1111
34.5588
100
56.6667
26.6667
31.4685
23.1343
100
100
100
100
100
39.375
44.5545
100
100
61.4035
32.1429
100
100
65.3465
100
74.7126
100
72.2222
100
85.1852
26.7081
100
24.812
83.3333
100
45.3333
37.6238
100
97.2973
47.1429
95.2941
100
100
21.7054
100
78.125
100
100
47.5248
100
32.8767
100
100
100
63.1068
35.6436
24.0602
46.1538
100
43.1579
100
100
34.6667
61.9718
29.4964
100
41.3043
22.5352
29.7872
100
100
59.0361
39.1304
100
41.5842
100
40.6977
100
64.1791
61.4458
33.1081
