total_occupied_tiles
42
45
41
44
42
43
41
41
44
41
39
43
43
43
43
39
43
44
49
43
52
43
44
43
39
40
40
41
44
41
41
44
41
39
43
42
41
41
42
43
43
43
43
42
46
39
44
41
41
44
43
41
38
39
48
41
43
43
40
47
41
39
42
39
43
43
39
42
41
41
42
43
39
52
44
43
43
39
46
39
41
43
41
41
42
50
50
44
39
44
44
41
41
42
43
43
39
45
47
42
