total_lead_change_moves
57.3798
64.1188
50.7518
76.5411
61.8833
62.2868
71.5842
156.347
75.6026
38.9932
143.412
160.95
48.8252
75.6767
76.2707
148.129
161.04
46.0693
46.287
59.1377
45.5658
69.3741
82.9111
68.7721
154.604
39.2333
74.3556
47.6853
68.194
151.832
159.228
156.778
155.149
153.02
79.2875
80.9802
155.01
152.485
48.1754
67.4214
153.197
157.98
100.921
160.265
52.1379
156.089
42.5139
159.04
54.8333
46.795
155.889
71.1955
67.5476
154.604
38.8667
71.396
151.238
62.6486
35.2286
42.8941
160.535
151.485
57.5039
153.594
56.75
160.089
155.059
57.6634
159.04
78.1027
155.267
151.631
154.307
38.6117
60.6337
70.2105
94.044
150.02
60.6632
150.485
151.901
87.0533
70.2254
45.9281
154.636
38.0326
43.6338
64.8014
154.198
158.874
54.0602
89.5776
155.97
67.3465
150.942
49.8953
152.851
36.4328
60.0482
67.5473
