total_more_than_one_move
100
100
100
99.8066
99.8267
99.8597
99.8771
99.8907
99.8124
99.7525
99.6324
99.6578
99.5524
99.5875
99.6175
99.6375
99.6555
99.5781
99.3753
99.4115
99.4469
99.4399
99.4668
99.4914
99.5082
99.4212
99.4453
99.4392
99.4321
99.448
99.4629
99.4817
99.4949
99.5075
99.5262
99.5373
99.5478
99.5579
99.5198
99.5128
99.506
99.516
99.5059
99.5185
99.4696
99.4796
99.4681
99.4778
99.4471
99.4279
99.408
99.4045
99.3757
99.3859
99.3773
99.3872
99.3968
99.3883
99.3494
99.3278
99.3377
99.3474
99.3594
99.3685
99.3463
99.3554
99.3642
99.3594
99.3679
99.3798
99.3878
99.3736
99.3814
99.3526
99.3604
99.3705
99.3839
99.391
99.3749
99.382
99.3889
99.3989
99.3818
99.3697
99.3677
99.3529
99.3315
99.341
99.3477
99.3366
99.3224
99.3329
99.3394
99.3457
99.3542
99.3594
99.3653
99.3601
99.3468
99.3554
