total_decision_factors
175.271
181.96
166.574
160.407
115.367
159.875
194.376
171.604
197.573
162.641
160.459
178.376
164.218
167.211
182.805
161.03
183.832
115.808
150.631
187.746
174.388
177.5
183.178
185.36
169.02
106.351
157.881
170.387
181.053
167.396
175.703
168.185
175.931
167.446
182.344
186.584
174
175.347
111.2
162.072
171.971
172.901
184.94
172.667
128.083
168.366
110.831
174.119
96.6923
158.717
177.268
176
121.6
166.752
75.1486
193.663
180.802
124.26
134.358
126.482
177.257
164.505
173.295
167.802
125.323
177.04
168.931
187.24
177.406
177.295
176.238
165.993
169
105.25
184.525
179.519
191.115
165.465
171.527
164.911
173.644
192.813
140.594
168.467
166.664
154.722
105.187
174.277
166.554
173.128
128.753
178.199
181.485
181.149
163.453
147.628
164.792
116.879
143.605
159.027
