total_lead_change_actions
18.6047
32.6733
23.4043
43.1507
65
20.5882
18.8119
99.0099
17.2185
6.16438
89.8649
89.1089
21.3592
25.5639
15.0376
100
88.1188
26.7327
30.5556
25.3623
15.1316
21.0884
20
17.6471
98.0198
26.6667
20
25.1748
11.194
92.0792
95.0495
93.3333
84.1584
96.0396
34.375
29.703
94.0594
91.0891
42.1053
19.2857
89.0511
98.0198
59.4059
96.2121
32.1839
100
41.6667
94.0594
70.3704
20.4969
83.3333
21.8045
50
100
37.3333
26.7327
79.2079
37.8378
24.2857
30.5882
97.0297
100
18.6047
96.0396
48.4375
93.0693
98.0198
29.703
92.0792
25.3425
91.0891
92.1986
96.0396
25.2427
22.7723
21.0526
36.2637
94.0594
37.8947
96.0396
85.1485
26
56.338
17.2662
97.6744
38.0435
19.7183
19.1489
100
91.8519
33.7349
34.1615
77.2277
36.6337
90.6475
29.0698
100
29.8507
48.1928
25.6757
