total_lead_change_moves
10.2391
6.38235
2.53125
7.11905
9.36471
7.9
12.38
2.62857
16.0122
4.375
6.85156
6.40385
14.1857
9.13889
9.75
12.0948
17.9545
6.15116
8.13462
11.6548
3.86111
13.7143
6.73239
10.125
5.27551
5.20968
5.96377
11.9756
3.45122
4.59375
9.45455
8.73077
5.51087
11.8796
5.86842
13.0463
11.0625
4.2561
11.3103
5.1625
14.6875
6.62857
11.8542
10.6111
5.37097
9.99099
8.79245
9.98305
17.7237
12.4861
