total_distance
1.31522
1.32353
1.1375
1.34524
1.24706
1.35556
1.31
1.24286
1.39024
1.55
1.30469
1.33654
1.35714
1.33333
1.2963
1.26724
1.22727
1.34884
1.25962
1.44048
1.41667
1.33333
1.25352
1.2625
1.32653
1.35484
1.36957
1.37805
1.35366
1.33333
1.44318
1.33333
1.32609
1.23148
1.39474
1.31481
1.35
1.35366
1.37931
1.35
1.36458
1.30714
1.26042
1.25397
1.5
1.22523
1.30189
1.16102
1.35526
1.45833
