total_lead_change_actions
6.52174
7.84314
4.375
8.33333
11.7647
6.66667
14
1.42857
21.9512
6.25
10.9375
7.69231
18.5714
13.8889
12.037
18.1034
30.303
8.13953
7.69231
15.4762
0.925926
13.0952
8.4507
15
2.04082
7.25806
6.52174
17.0732
3.65854
4.16667
19.3182
11.5385
8.69565
19.4444
10.5263
18.5185
13.75
3.65854
12.069
5
27.0833
7.14286
11.4583
14.2857
6.45161
13.0631
16.9811
12.7119
32.8947
18.0556
