total_occupied_tiles
47
46
53
47
54
49
49
44
46
47
49
50
43
41
52
46
42
49
51
51
47
40
58
45
45
46
51
49
45
50
47
47
51
46
46
51
42
47
44
50
50
53
51
49
44
56
49
48
46
42
