total_turns
92
102
160
84
170
90
100
70
82
80
128
104
70
72
108
116
66
86
104
84
108
84
142
80
98
124
138
82
82
96
88
78
92
108
76
108
80
82
58
80
96
140
96
126
62
222
106
118
76
72
