total_number_of_pieces
31.5217
24.5882
21.3938
27.4405
26.0588
27.2111
29.92
28.4286
29.7317
29.6375
25.0391
29.7212
31.3143
30.125
24.2685
29.3534
29.7273
27.2791
28.1923
29.1429
29.1481
31.3333
26.3169
26.5375
29.4694
25.5565
25.4638
27.1585
28.4268
23.8646
29.0114
31.5
23.9674
30.2685
27.3816
27.4722
29.6125
27.5732
30.3276
27.4
26.0417
26.0071
28.8229
27.0079
28.5161
24.1982
22.8208
24.3644
27.5263
30.3472
