total_decision_factors
66.7356
52.0326
51.9726
57.6622
64.2484
55.131
70.7528
44.4839
56.7973
56.6849
57.7623
64.3936
56.8615
55.3636
60.4286
66.5872
55.7222
50.2625
67.1546
67.1579
72.4646
70.3289
63.8358
57.4058
67.7386
55.7524
56.1111
60.2987
57.0658
53.2405
52.3038
57.9855
48.369
64.102
52.3846
59.949
64.6027
54.3649
57.0196
66.1176
53.4483
63.7823
71.5952
65.7913
45.0185
56.8986
47.4842
58.7064
53.4091
60.5397
