total_branches
63.163
47.0294
47.5125
50.9167
59.4118
51.5222
63.08
39.5143
51.3537
51.8125
55.1016
58.2981
52.8714
50.8333
54.9259
62.6293
45.7727
46.8256
62.7019
60.8571
66.5093
63.7262
60.2958
49.65
60.9286
47.3629
51.3188
56.6829
52.9634
43.9896
47.0568
51.4103
44.25
58.2593
44.9474
54.4907
59.0375
49.1585
50.2586
56.35
48.5312
56.6071
62.7708
60.1349
39.3387
53.1216
42.6604
54.3051
46.5132
53.0972
