total_narrowness
28.5435
26.1667
25.5875
23.8452
32.9353
23.6778
34.16
21.4286
31.1098
27.6625
31.4375
32.1635
25.3
30.2639
34.8889
34.2328
24.3333
23.686
30.3173
29.4762
31.537
35.5119
31.5915
25.975
31.1837
24.0403
29.1594
31.3537
25.9268
23.5208
25.3977
26.1538
19.5109
32.287
24.1579
31.0093
33.55
27.439
26.9483
30.175
24.5208
31.0286
32.8646
31.1032
20.129
29.1982
25.4434
32.3729
27.4079
29.125
