decisiveness
47.8261
30.3922
19.375
21.4286
60
24.4444
75
1.42857
53.6585
38.75
63.2812
56.7308
42.8571
55.5556
42.5926
66.3793
53.0303
56.9767
51.9231
36.9048
0.925926
29.7619
49.2958
55
2.04082
26.6129
20.2899
39.0244
25.6098
8.33333
64.7727
33.3333
51.087
77.7778
47.3684
58.3333
70
4.87805
34.4828
42.5
70.8333
49.2857
31.25
51.5873
56.4516
47.7477
71.6981
42.3729
68.4211
59.7222
