total_lead_change_moves
4.21429
2.64865
7.92857
5.11628
3.63793
2.94286
5.98684
7.01562
11.3621
5.17857
6.7963
8.97619
10.6731
6.69231
2.72857
4.48529
7.86667
3.51613
3.54545
8.36538
7.95161
3.16667
7.47826
3.46296
5.94286
5.3
6.275
3.9
4.64286
7.63793
2.18182
3.98529
5.74194
2.67778
7.48276
6.01613
9.13158
4.07143
5.70968
5.28333
5.0625
8.08065
7.32353
5.01786
5.60417
2.52564
4.19444
7.63514
2.83333
5.46774
