total_number_of_pieces
34.0714
30.4054
33.7714
31.0581
29.9655
31.9714
33.9079
34.6719
34.6034
33.3036
33.0185
28.881
34.2308
30.0128
32.0857
32.8088
32.4333
33.8065
31.3182
33.6923
32.4355
29.4167
35.0217
30.2222
32.7143
34.02
32.825
31.5
32.5536
32.6207
31.3939
32.7941
33.7097
28.7556
34.8966
32.7097
32.1842
31.4429
34.6129
33.6333
29.3281
34.2581
30.2206
31.5357
32.25
32.7564
34.4722
32.5405
33.0606
30.5
