total_more_than_one_move
94.2857
92.3611
92.9907
94.3333
93.5754
93.2243
93.8492
93.662
93.9297
93.2551
93.4783
93.5366
93.6927
93.5789
93.6275
93.4743
93.554
93.5537
93.4953
93.5241
93.5971
93.8089
93.8642
93.8209
93.8406
93.7866
93.897
94.0087
93.9218
93.7949
93.6012
93.4741
93.5228
93.6941
93.6792
93.6757
93.6926
93.7094
93.7055
93.6582
93.6604
93.6578
93.6331
93.653
93.62
93.7205
93.8036
93.8224
93.8248
93.8195
