total_turns
70
74
70
86
58
70
76
64
58
56
54
84
52
78
70
68
60
62
66
52
62
96
46
54
70
50
80
50
56
58
66
68
62
90
58
62
38
70
62
60
64
62
68
56
48
78
72
74
66
62
