total_distance
1.42857
1.2027
1.32857
1.45349
1.39655
1.37143
1.43421
1.40625
1.39655
1.375
1.25926
1.35714
1.25
1.32051
1.34286
1.35294
1.35
1.29032
1.51515
1.36538
1.35484
1.61458
1.32609
1.46296
1.34286
1.36
1.575
1.3
1.28571
1.39655
1.19697
1.41176
1.5
1.46667
1.44828
1.33871
1.31579
1.45714
1.41935
1.2
1.39062
1.3871
1.32353
1.44643
1.35417
1.38462
1.375
1.39189
1.30303
1.3871
