total_occupied_tiles
43
47
46
45
40
46
46
44
39
40
40
43
42
45
43
40
42
43
44
41
43
49
40
40
42
41
49
44
41
40
42
42
42
44
41
40
38
41
43
41
40
42
41
43
40
44
52
42
48
42
