total_narrowness
30.1714
23.5946
26.7429
32.5233
22.6207
23.3429
31.5132
26.5938
29.3793
21.6786
25.6481
24.4286
22.1538
22.641
26.5286
24.5735
24.5667
30.6935
25.0152
27.7885
23.5645
29.6354
25.3261
23.1852
30.4571
19.8
24.575
17.08
22.0179
30.5
17.9091
26.7647
31
27.7778
24.0517
27.4355
19.5
24.2286
27.5645
28.0167
24.2031
25.8548
20.2206
23.8929
19.7917
28.5641
28.2639
26.3378
32.7121
32.4516
