total_lead_change_actions
4.28571
1.35135
4.28571
4.65116
3.44828
1.42857
5.26316
6.25
6.89655
5.35714
7.40741
10.7143
11.5385
6.41026
1.42857
5.88235
8.33333
1.6129
6.06061
3.84615
6.45161
1.04167
2.17391
3.7037
1.42857
2
5
2
1.78571
6.89655
1.51515
2.94118
4.83871
3.33333
3.44828
4.83871
10.5263
4.28571
1.6129
6.66667
1.5625
9.67742
5.88235
8.92857
4.16667
1.28205
1.38889
8.10811
1.51515
1.6129
