total_decision_factors
100.364
66.2836
88.9394
97.4881
57.3846
85.7188
92.2027
77.7627
91.8036
61.2292
78.4231
65.1899
65.5
56.7639
80.3939
80.871
71.9474
78.5172
76.7869
77.9796
74.6949
86.043
74.1364
68.14
85.4394
60.1522
94.1558
43.2245
66.1569
86.1538
61.3103
85.082
83
63.5568
72.9074
84.3276
48.4722
83.6818
95.6379
75.7273
61.2667
88.2759
65.6825
59.8679
55.7955
81
100.314
72.6
79.9839
76.569
