total_branches
53.5403
33.4138
38.7465
31.2383
65.1565
25.5259
41.145
44.0329
45.2937
56.3223
43.3429
43.7
56.1163
56.2535
69.0403
40.4769
52.1098
38.8194
52.2301
49.6583
64.875
29.7143
44.5385
49.1261
45.9098
60.633
54.8218
50.1294
67.8636
49.2409
54.0229
32.2047
63.7117
54.8105
42.9576
52.0598
39.6146
58.6176
44.3333
31.5321
52.6024
46.7027
32.6061
46.0119
46.3942
62.5224
68.5135
34.8065
64.5
53
60.1765
54.6403
26.2486
39.0505
58.0702
50.1864
65.3154
62.1163
53.1809
50.8849
34.0141
44.4255
47.1786
52.3113
54.2154
43.7164
43.256
42.7228
44.6421
66.027
19.5455
41.7812
34.2838
70.3636
46.569
54.8241
22.5178
37.6872
37.2941
44.0638
57.7935
54.2212
46.1084
49.8161
59.5281
45.6281
47.0227
53.9596
34.5969
50.8286
47.7742
65.0756
64.4098
36.5041
74.6867
72.9722
42.5357
53.9114
32.8026
38.3081
