total_turns
124
145
71
193
115
116
131
152
143
121
175
160
86
71
124
130
82
72
113
120
112
231
169
111
122
109
101
85
88
137
131
171
111
95
165
117
96
102
213
265
83
111
198
84
104
67
111
124
110
99
119
139
185
99
114
118
130
129
94
139
283
94
84
106
130
134
207
101
95
111
66
192
74
99
174
108
197
211
187
94
92
113
83
87
89
121
88
99
196
105
155
119
122
123
83
108
112
79
152
172
