total_occupied_tiles
50
54
45
57
50
49
52
50
47
49
54
58
48
48
44
54
44
46
46
46
47
60
55
50
50
47
45
47
47
48
48
54
49
41
53
52
46
46
53
57
43
52
53
46
46
43
47
55
54
45
47
48
53
47
46
46
50
46
50
55
59
48
45
48
46
50
56
47
49
42
41
58
42
49
51
51
48
59
50
44
49
48
49
48
45
51
43
47
58
48
49
48
50
56
45
45
50
45
57
51
