decisiveness
88.7097
46.2069
84.507
47.6684
82.6087
80.1724
42.7481
73.0263
63.6364
61.9835
46.2857
43.75
53.4884
95.7746
80.6452
64.6154
68.2927
90.2778
99.115
86.6667
87.5
51.0823
35.503
72.973
63.1148
81.6514
59.4059
95.2941
54.5455
39.4161
72.5191
42.6901
89.1892
62.1053
93.9394
55.5556
98.9583
58.8235
52.1127
19.6226
83.1325
24.3243
46.4646
94.0476
36.5385
94.0299
93.6937
94.3548
61.8182
47.4747
97.479
69.7842
100
74.7475
63.1579
95.7627
72.3077
93.0233
89.3617
56.1151
41.6961
94.6809
92.8571
92.4528
39.2308
97.7612
36.715
86.1386
62.1053
85.5856
95.4545
46.875
94.5946
93.9394
37.931
75.9259
100
39.8104
38.5027
98.9362
66.3043
94.6903
95.1807
97.7011
46.0674
76.0331
54.5455
35.3535
44.898
85.7143
99.3548
85.7143
91.8033
36.5854
80.7229
88.8889
91.0714
89.8734
57.8947
50.5814
