total_more_than_one_move
91.9355
92.9368
90.8824
92.3077
92.4383
92.0157
92.1788
92.6457
92.6891
92.5248
92.463
92.5881
92.4365
92.3461
92.5272
92.2703
92.3796
92.3112
92.0826
92.0622
92.0188
91.8909
92.0501
92.0443
91.847
91.9951
92.0859
91.9059
91.7133
91.8307
91.7969
91.8225
91.8001
91.8188
91.6476
91.687
91.6431
91.6542
91.8941
92.0193
91.9741
91.9538
92.0604
92.0722
92.0938
92.1161
92.0614
92.0258
92.0383
91.9885
91.9499
91.8915
92.0107
91.9947
91.9532
91.9318
91.9805
91.9304
92.0195
91.9942
92.0537
92.0217
91.993
92.0361
92.016
91.9646
91.9953
91.904
91.9462
91.9342
91.9043
91.965
91.9209
91.9532
92.027
92.0229
92.0813
92.1784
92.106
92.1004
92.0741
92.0069
91.9845
91.9467
91.9576
91.9459
91.9102
91.9102
91.9712
92.0014
92.0222
92.0351
92.0242
92.0647
92.078
92.0411
92.0322
92.0428
92.0838
92.0967
