total_number_of_pieces
23.7097
15.7931
24.2676
14.8808
27.9652
16.2328
21.0687
20.1316
20.7902
24.7438
18.2571
19.9875
27.3256
28.4225
26.4194
16.9692
26.3171
24.3333
25.0088
22.75
27.8839
13.4242
18.858
23.2072
21.8197
26.5596
26.0099
27.8235
27.7045
21.7737
24.313
15.4854
27.0811
25.9474
19.8788
23.0342
19.3438
26.0882
18.9577
14.8189
27.1928
22.9099
15.3485
23.1786
20.5577
27.8209
26.4144
17.8468
26.6364
27.5758
26.8403
24.1727
14.7676
20.1919
27.6491
21.9322
25.6077
24.4574
24.6064
21.7482
15.2438
23.6489
26.1548
23.2547
22.2231
20.597
18.8019
21.4653
22.1474
26.6577
19.8636
17.3646
23.473
28.6061
19.8103
24.3796
11.9239
14.5687
17.2674
22.1383
24.1739
25.3097
24.0723
24.1494
27.6517
21.3554
25.5341
23.0707
14.2653
21.7429
20.9355
25.3613
27.918
17.8699
34.1325
30.4537
22.0804
26.0886
15.7237
18.1337
